"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Chimborazo - Guano - San Gerardo de Pacaicaguan";3;74;0,67;0,33;0,33;0;0,67;"Operativos Regulares frecuentes"
"Chimborazo - Guano - San Isidro De Patulu";2;54;0,5;0,5;0,5;0,5;0;"Operativos Regulares frecuentes"
"Chimborazo - Pallatanga - Pallatanga";22;42;0,68;0,32;0,23;0,32;0,45;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - Penipe";3;44;1;0;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - San Antonio de Bayushig";1;64;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Penipe - La Candelaria";3;40;1;0;0,67;0;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Cumanda - Cumanda";6;38;1;0;0,33;0,17;0,5;"Operativos Regulares frecuentes"
"El Oro - Machala - La Providencia";36;36;0,86;0,14;0,5;0,28;0,22;"Operativos Regulares frecuentes"
"El Oro - Machala - Machala";138;39;0,83;0,17;0,25;0,41;0,32;"Operativo de Transito Constante"
"El Oro - Machala - Puerto Bolivar";5;43;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - Nueve De Mayo";8;34;1;0;0,62;0,25;0,12;"Operativos Regulares frecuentes"
"El Oro - Machala - El cambio";5;37;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - Machala Cabezera Cantonal y Provincial";19;39;0,95;0,05;0,21;0;0,79;"Operativos Regulares frecuentes"
"El Oro - Machala - El Cambio";1;35;1;0;1;0;0;"Operativos Regulares frecuentes"
"El Oro - Machala - El Retiro";5;39;0,8;0,2;0,6;0,4;0;"Operativos Regulares frecuentes"
"El Oro - Arenillas - Arenillas";22;43;0,73;0,27;0,36;0,32;0,32;"Operativos Regulares frecuentes"
"El Oro - Arenillas - Chacras";1;27;1;0;1;0;0;"Operativos Regulares frecuentes"
